Company,items,industry,중분류,description,sub_classification
유엔젤,"소프트웨어(무선인터넷 솔루션,ASP통신사업자용 지능망솔루션 및 단문메세지센터) 개발,공급","'자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업'",IT서비스,"기업개요
동사는 1999년 설립되어 국내외 유/무선 통신사업자 및 단말제조사 등에게 지능망, 메세징, 해외 RBT 서비스, 유아교육 스마트러닝을 개발 및 공급하는 것을 주요 사업으로 하고 있음.
동사의 대표적인 연구분야는 가상화, 서비스 기반의 구조, 신규 이동통신 프로토콜임.
또한 유무선 통합 마케팅 솔루션, 통합 뮤직 및 MPOMR, AI통화 연동 솔루션 등의 사업을 영위하고 있음.
출처 : 에프앤가이드","호스팅, AI"
아시아나IDT,"IT 서비스, IT 솔루션","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 2003년 2월 모회사인 아시아나항공의 정보통신사업부를 영업 양수. 이후 아시아나아이디티로 사명을 변경 후 현재까지 IT 서비스 사업을 영위하고 있음.
자체 데이터센터를 기반으로 고객사에 안정적이고 효율적인 IT인프라 서비스를 위하여 인프라 컨설팅, 인프라 설계 및 구축, 클라우드 서비스, 데이터센터 통합 운영 및 전산시설 환경 안전진단 서비스 제공.
주요 고객사는 아시아나항공, 에어부산, 에어서울, 인천국제공항공사 등.
출처 : 에프앤가이드","인프라, 클라우드"
데이타솔루션,"EMC스토리지, SPSS, SI",'기계장비 및 관련 물품 도매업',IT서비스,"기업개요
동사를 제외하고 7개의 계열회사가 있으며, 최대주주인 오픈베이스를 제외하고는 모두 비상장기업으로 구성되어 있음.
데이터사업은 분석 소프트웨어의 개발과 판매, 분석 컨설팅, 빅데이터와 AI 시스템 구축 사업과 및 교육사업으로 구성됨.
현재 동사는 SPSS 프로그램을 바탕으로 통계분석 S/W 교육연구 시장에서 타 경쟁업체 대비 국내 가장 높은 점유율을 차지하고 있음.
출처 : 에프앤가이드","프로그램, 분석, AI"
이씨에스,"컨택센터용교환시스템,업무용교환시스템","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
Enterprise Communication Solutions사업의 오랜 경험을 기반으로 고객성공 영역과 디지털워크플레이스 영역을 주사업으로 하고 있음.
고객성공 영역은 기존의 컨택센터 인프라, 고객경험, 상담사 경험, ROI, 관리, 세일즈/마케팅, 자동화, 컴플라이언스 부문으로 구성됨.
디지털워크플레이스 영역은 Digital Work와 영상회의 부문으로 구성되며 재택 및 원격 근무, 협업 지원, 원격 교육 등의 사업을 영위함.
출처 : 에프앤가이드",인프라
정원엔시스,"SI(시스템통합) 관련 소프트웨어, 중.대형 고속 레이져 프린터",'기계장비 및 관련 물품 도매업',IT서비스,"기업개요
동사는 기업용 전산시스템의 구축 및 통합을 위한 솔루션서비스를 제공하고 전산장비를 공급하는 IT전문기업임.
주된 취급품목은 서버, 스토리지, 컴퓨터 등 전산장비이며, 현재 한국 HP등의 국내 총판사업을 영위하고 있음.
현재 SI산업은 국가의 정보화 확산을 위한 견인 역할을 함과 동시에 산업 전반의 효율성 및 경쟁력을 제고시키고, 고급 기술 인력 육성을 주도하는 전략적 국가기간 산업으로서 중점 육성되고 있음.
출처 : 에프앤가이드",서버
디모아,"h/w,s/w개발",'기타 전문 도매업',IT서비스,"기업개요
동사와 연결회사는 한국마이크로스프트 유한회사의 상업,교육,공공,클라우드용 총판, ADOBE의 교육용과 상업용 총판, (주)안랩의 상업용총판, Unity, PTC 총판으로 소프트웨어 판매와 기술지원을 영위.
Poly의 총판으로서 UC, CC제품 등 하드웨어를 판매하고 있으 그 외에 Zoom, Tableau 소프트웨어를 유통 판매.
또한, 소프트웨어 판매 회사인 종속회사 디모아를 2022년 3월 중에 흡수합병함.
출처 : 에프앤가이드",클라우드
리노스,"TRS통신, Kipling Bag외","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 1991년 설립되었으며, SI, IT 솔루션, 무선통신, IT서비스 등의 IT사업부문과 키플링, 이스트팩 패션브랜드의 F&C사업부문을 주요사업으로 영위하고 있음.
IT 사업 부문은 경찰, 소방 등 정부공공기관이 주요 고객임. 인천국제공항 무선통신시스템, 경찰 무선통신시스템 등을 구축함.
패션, 생활용품 업체 비케이이노베이션을 연결대상 종속회사로 보유함.
출처 : 에프앤가이드","네트워크, 인프라"
케이씨에스,컴퓨터시스템 통합 구축 및 철도 도로 교통인프라,"'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 한국컴퓨터지주에서 물적분할을 통해 설립돼 2007년 계열사인 한컴기술연구소를 합병함.
동사는 무장애, 무정지형 시스템과 솔루션으로 금융, 통신, 공공 부문에 차별화 된 서비스를 제공해옴.
동사는 크게 NonStop SI, Enterprise Solution, 교통인프라, KIOSK 단말 사업 등 4개의 사업을 영위하며 NonStop SI 사업부분은 수익창출에 기여하고 있음.
출처 : 에프앤가이드","인프라, 금융"
이삭엔지니어링,공장자동화 설비제어,"'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 2006년 11월에 설립되어 반도체, 전자, 철강, 중공업, 발전, 제약/바이오, 2차전지 등 제조 산업 전반에 걸처 공장 자동화 솔루션 공급을 영위하고 있음.
산업자동화 솔루션, 디지털 팩토리 솔루션, 산업용 IoT 플랫폼 등 3개의 주력 사업으로 구성됨.
산업자동화 솔루션은 지멘스로부터 PLC, DRIVE 등 하드웨어 장비를 매입하고 동사의 엔지니어링 기술을 결합하여 솔루션을 공급하는 방식으로 사업이 구성됨.
출처 : 에프앤가이드",플랫폼
텔코웨어,"소프트웨어(핵심망솔루션,무선데이터솔루션,요소기술) 개발,유지보수,무역","'자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업'",IT서비스,"기업개요
동사는 2000년 설립되어 SKT, SKB, LGU+ 등 국내 통신사의 Core Network에 해당되는 통신 솔루션을 개발 공급 및 유지보수 서비스를 제공하고 있음.
제품의 특성에 따라 음성핵심망 솔루션, 무선데이터 솔루션, 요소기술의 3가지로 품목을 구분하고 있음.
2019년 이후 신규로 공급하게 된 제품은 MEC 및 5G SA 코어망에 구축될 NRF, NSSF 등이 있음.
출처 : 에프앤가이드",호스팅
플랜티넷,유해사이트차단서비스,"'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 2000년 설립되어 네트워크 차단방식의 인터넷 유해콘텐츠차단서비스 사업을 영위하고 있음.
동사는 국내 최초 인터넷 망을 통한 유해 사이트 필터링 서비스를 상용화하였음.
국내 3대 ISP사업자 뿐 아니라 MSO사업자, 케이블인터넷 사업자를 통해 제공하고 있으며, 해외법인 고객으로는 대만의 중화전신, 베트남의 VNPT 등 굴지의 통신사를 고객사로 보유하고 있음.
출처 : 에프앤가이드",네트워크
솔트웨어,enView,"'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 2003년 11월 설립되었으며 공공기관, 대학, 기업용 클라우드 시스템 구축 서비스와 인프라 구축 운영 서비스, 그리고 기업용 포털솔루션을 주요 제품으로 사업을 영위함.
S/W 패키지인 BIPS를 통해 고객사의 업무 포털 시스템을 구축하였고, S/W 솔루션인 BIPS enView를 출시하여 기업정보화 사업에 진출함.
동사가 카타르에 수출한 컨테이너형 육묘기와 사막형 그린하우스 제품을 기반으로 스마트팜 시장 진출 준비 중임.
출처 : 에프앤가이드","인프라, 클라우드"
비츠로시스,"원방감시제어시스템, 분산제어시스템","'전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업'",IT서비스,"기업개요
동사는 1989년 11월 한불자동화 주식회사로 출범하여 1991년 주식회사 광명제어로, 2000년 주식회사 비츠로시스로 상호를 변경하였으며, 2001년 12월 코스닥시장에 주식을 상장함.
동사는 자동제어시스템 전문 제조업체로서 분산제어시스템, SCADA 시스템, 유·무선TM/TC, ITS시스템 등을 개발하여 정부/공공기관, 대형건설사, 지방자치단체등에 납품함.
동사의 제조공정은 S/W, H/W의 결합과 설치공사 부분으로 구성.
출처 : 에프앤가이드","네트워크, 인프라"
벨로크,"보안솔루션,보안서비스","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 네트워크 보안솔루션공급 및 구축, 유지보수를 바탕으로 한 보안서비스 제공, 보안상품판매 및 유통사업을 영위하고 있음.
자체적으로 포트스캔 솔루션(B-SOP), 규정관리 솔루션(B-cms), 지능형 영상 감시 시스템(i-object track) 등 제품 개발을 통해 타 제조사 제품과 연계하여 제공하고 있음.
한국동서발전, 한국서부발전 등 국내 공공 발전사 및 한국수력원자력에 시스템을 공급하고 있음.
출처 : 에프앤가이드",네트워크
한솔인티큐브,기업통신 및 무선인터넷,"'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 2003년 12월에 설립되었으며 2004년 1월에 코스닥에 상장함. 2008년 6월 한솔그룹에 편입되어 상호명을 한솔인티큐브로 변경함.
AI 기반의 고객 커뮤니케이션 전문 기업으로서, AI, 클라우드, 옴니채널, 콜인프라 등의 기술력을 이용한 컨택센터 및 경험기반의 고객서비스 체계를 제공하고 있음.
종속회사인 스티커스코퍼레이션은 반려동물의 습식사료 및 자연식 사료 제조 및 판매, 헬스케어 상품 판매업을 영위함.
출처 : 에프앤가이드","인프라, 클라우드, AI"
엠브레인,온라인 및 오프라인 리서치,시장조사 및 여론조사업',IT서비스,"기업개요
동사는 1998년 '한국패널리서치'를 설립한 후 2000년 11월 13일 상호를 '엠브레인'으로 변경하였으며, 2012년 7월 17일 '마크로밀엠브레인’으로 상호를 변경함.
시장의 요구에 부응하기 위해 기존 리서치 사업 이외에 새로이 빅데이터 사업에도 진출했음.
동사 빅데이터 사업의 주요 서비스는 2가지로, 시장 점유율을 제공하는 ‘구매빅데이터’서비스와 당사 빅데이터 패널 기반 분석 데이터를 제공하는 ‘패널빅데이터? ’ 서비스임.
출처 : 에프앤가이드","빅데이터, 분석"
로지시스,"전산장비 판매 및 유지보수, VAN기기 대행관리","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 전산장비 유지보수 용역, 전산장비 판매, VAN서비스 대행용역 사업을 영위하고 있으며 13개의 계열회사가 있음.
전산장비 유지보수 사업은 금융권 전산장비 유지보수와 공공기관 전산장비 유지보수 부문으로 분류할 수 있고, 통합유지보수 또는 장비별로 개별 유지보수를 수행하고 있음.
VAN서비스 대행사업은 VAN사의 현금자동입출금기에 대한 대행관리와 금융기관 365코너의 현금자동 입출금기에 대한 대행관리사업을 수행하고 있음.
출처 : 에프앤가이드",금융
현대오토에버,"전산실운영, 시스템구축, 전산장비 납품, SOC/건축 사업",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 2000년 4월 10일에 설립되어 정보시스템 기획(IT 컨설팅), 시스템 구축, 운영 및 유지보수 등의 IT 서비스 사업과 차량 SW 플랫폼, 내비게이션 SW 등을 포함한 차량용 SW 사업을 영위하고 있음.
사용자가 필요로 하는 정보시스템에 관한 기획(IT 컨설팅)에서부터 구축, 운영, 유지보수까지 전 과정을 수행하는 IT 서비스 제공.
차량용 SW 부문은 BSW, 내비게이션 SW 등을 포함한 차량용 SW 사업을 영위.
출처 : 에프앤가이드",플랫폼
엠로,"기업용 공급망관리 소프트웨어, AI 디지털혁신 소프트웨어, 공급망관리 클라우드 서비스",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 2000년 설립 이후 공급망관리 전 영역에 대한 full coverage 소프트웨어를 개발 및 공급해오고 공급망관리 소프트웨어 시장 1위 기업임.
동사는 지속적인 연구개발을 통해 2019년 AI 및 클라우드 서비스를 출시함.
AI 특허 기술을 바탕으로 Item Master Lifecycle 관리, 신규 프로젝트 최적 견적가 산정, 지능형 수요예측 및 재고관리 등 다양한 AI 소프트웨어를 선보이고 있음.
출처 : 에프앤가이드","클라우드, AI"
안랩,바이러스백신 프로그램,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 1995년 설립되어 컨설팅-솔루션-관제 등 시큐리티 라이프 사이클 상의 기술과 서비스를 제공하는 통합보안업체임.
솔루션 분야는 대표제품인 V3 제품군을 비롯해 온라인 보안 서비스, 모바일 보안 솔루션, 네트워크 보안 장비 등 정보 네트워크 환경에 적합한 보안 솔루션을 개발 공급하고 있음.
서비스 분야는 보안 컨설팅과 보안 관제 등이 있으며, 정부 지정 정보보호컨설팅전문업체로서 서비스를 제공하고 있음.
출처 : 에프앤가이드","네트워크, 프로그램"
솔트룩스,인공지능 및 빅데이터 소프트웨어,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 1981년 8월에 설립되었으며, B2B 및 B2G 인공지능·빅데이터 솔루션을 프로젝트 수주하여 구축 혹은 클라우드 기반으로 서비스 하는 사업을 영위.
대화형 인공지능, 증강분석 빅데이터 사업 및 인공지능 클라우드 서비스 분야의 사업을 전개하고 있음.
ICC SaaS 사업, 초개인화 AI 서비스, AI 기반 유전체 분석 및 신약 사업, 메타휴먼 사업의 신규 사업을 추진하고 있음.
출처 : 에프앤가이드","클라우드, 분석, AI"
코난테크놀로지,"소프트웨어(인공지능,빅데이터,자연어처리,검색엔진,대화형챗봇,음성합성,음성인식) 연구개발 및 공급, 정보통신서비스",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 주요 기반기술을 기준으로 4제품군, 7제품으로 라인업 하고 있으며 4제품군은 딥컨버세이셔널에이전트[코난챗봇], 딥비전[코난와처], 딥스피치[코난보이스],[코난리스너] 그리고 딥텍스트애널리틱스가 있음.
딥텍스트애널리틱스 제품군 하위에 4개의 상용제품 [코난서치], [코난애널리틱스], [펄스케이]이 포함되어 판매 중임.
스마트워크와 스마트라이프 실현을 위해 AI제품/서비스를 라인업해 나가고 있음.
출처 : 에프앤가이드","AI, 고객 지원"
폴라리스오피스,시스템 소프트웨어,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 폴라리스 오피스(Polaris Office), 모바일 백신솔루션 (V-Guard), Atlassian 솔루션, 모바일 게임 사업 부문을 영위하고 있음.
단말기나 이동통신사 앱스토어의 보안 검증을 위한 플랫폼 개발 및 유지 보수를 하는 보안 플랫폼 사업을 영위함.
폴라리스 오피스 클라우드 서비스는 2022년 9월말 기준 243개국 1.2억명의 가입자를 확보한 상태로 사용자가 지속적으로 증가하고 있음.
출처 : 에프앤가이드","클라우드, 플랫폼, 앱"
한글과컴퓨터,오피스소프트웨어,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 소프트웨어 개발 및 공급업을 목적으로 1990년 10월 11일에 설립되었으며, 1996년 9월 24일자로 상장되어 코스닥시장에서 매매가 개시됨.
한컴오피스 소프트웨어를 중심으로 오피스SW 및 솔루션 개발 및 판매를 주요 사업으로 하고 있음.
종속회사 한컴라이프케어는 보호복, 호흡기, 마스크 등 개인보호장비(PPE) 분야를 주요사업군으로 집중하며, 공기호흡기 등 안전장비 분야에서는 압도적인 입지를 구축해왔음.
출처 : 에프앤가이드","프로그램, 앱, 보안, 기타 하드웨어"
슈어소프트테크,소프트웨어 자동화 검증 플랫폼,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 2002년 3월에 설립되어 소프트웨어의 안전성을 검증하기 위한 자동화 도구 개발 및 공급, 제 3자 검증 서비스를 사업을 영위하고 있음.
기능안전 국제표준에 근거하여 개발 과정에 따라 정의된 검증 활동이 필수적으로 요구되고, 당사는 필수 검증 활동을 자동화하는 소프트웨어 원천 기술 및 3자 검증 서비스 기술력을 보유.
주요제품으로는 코드검증 솔루션, 시스템검증 솔루션, 모델검증 솔루션, 미래기술검증 솔루션이 있음.
출처 : 에프앤가이드",플랫폼
다날,모바일콘텐츠 및 유무선전화결제,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 소프트웨어 개발, 수출 및 판매 등을 영위할 목적으로 1997년 7월 설립되어 2004년 7월 코스닥시장에 상장됨.
휴대폰 결제 서비스를 주 사업으로 국내 뿐 아니라 해외에서도 결제 및 인증사업을 진행하고 있으며, 온/오프라인 휴대폰 결제를 비롯하여, 신용카드, 바코드 결제 등의 커머스사업을 진행하고 있음.
연결종속회사들의 사업부문은 디지털콘텐츠부문, 프랜차이즈부문, 렌탈서비스부문으로 구별됨.
출처 : 에프앤가이드","인증, 결제"
KG이니시스,전자지불서비스,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 전자지불결제대행업(PG)을 주 사업으로 영위함. 쇼핑몰등 인터넷상에서 지불결제가 필요한 업체에게 지불결제시스템을 구축해 주고 지불승인과 매입, 대금정산 등의 업무를 지원하는 서비스임.
국내 전자결제시장 선두주자이며 NHN한국사이버결제, 토스페이먼츠 등이 주요 경쟁기업임.
동사는 사업부문으 프랜차이즈음식점을 운영하는 요식업 부문, 교원 임용시험 등 학원 및 온라인 강좌, 교재 사업을 하는 교육사업 부문 등을 보유함.
출처 : 에프앤가이드",결제
알체라,"얼굴인식 AI, 이상상황 감지 AI 등",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 인공지능 영상인식 분야에서 토탈 솔루션 기술을 제공하고 있음.
안면인식 기반의 결제 시스템 구축, 모바일 뱅킹, 신분증 확인 등에 적용되며, 출입국 및 공공기관의 출입 등 보안과 관제 영역까지 관리할 수 있는 On Premise와 SaaS 모델을 제공함.
또한 원격 의료 및 임상시험 등에 사용되는 Digital Healthcare 솔루션도 공급하고 있음.
출처 : 에프앤가이드",결제
코나아이,"전자화폐, 단말기, 수집/정산시스템",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 국제규격 결제플랫폼을 기반으로 지역화폐와 코나카드 결제서비스를 제공하고 있음.
현재 동사는 1,400만명의 고객과 연간 15조원 이상의 결제를 처리중으로 배달, 택시등 지역사회에 필요한 모든 서비스를 제공 중임.
국내 결제 플랫폼 성공을 바탕으로 Open API 기반 해외 결제 서비스를 준비 중이며, 신사업으로 블록체인 플랫폼, 메타버스 플랫폼, TSM 기반 정보 판매 서비스 및 MVNO 등을 추진중임.
출처 : 에프앤가이드","플랫폼, 결제"
한국정보인증,"공인인증서, PKI솔루션 등",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 국내 최초의 인증기관으로서 인증서의 발급, PKI 솔루션 개발 및 판매, SSL(웹보안서버) 판매, 바이오인증서비스 등을 영위하고 있음.
OTP(One Time Password: 일회용 비밀번호)제품을 주사업으로 영위 하고 있는 ㈜미래테크놀로지와 '21.09.15일부로 합병을 완료함.
가상자산 서비스 사업, 지문인증 서비스 사업 등의 분야로 확장을 추진 중임.
출처 : 에프앤가이드","서버, 인증"
가비아,"도메인,호스팅",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 1999년 설립되어 기업을 대상으로 클라우드, 그룹웨어, 보안, 도메인, 호스팅 등을 제공하는 IT 서비스업을 영위하고 있음.
종속회사를 통해 쇼핑몰 서비스 및 홈페이지 제작, SI 및 멀티미디어 솔루션, 보안상품 및 서비스, 그리드 CDN 및 MS의 SPLA, CSP 라이선스를 제공하고 있음.
기업용 그룹웨어 솔루션 '하이웍스' 는 2019년에 그룹웨어 및 메일서비스 분야에서 시장 점유율 1위를 기록하였음.
출처 : 에프앤가이드","클라우드, 호스팅"
이스트소프트,"온라인게임(카발온라인),알툴즈S/W,스토리지S/W",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 1993년 설립된 소프트웨어 개발회사로, 최근 인공지능(AI)사업(AI 휴먼 사업)을 전개하고 있음.
동사와 주요 종속회사의 사업영역은 유틸리티(알툴즈 등), 보안(알약), 포털(줌닷컴), 게임(카발) 등이 있음.
이외 커머스(아이웨어 가상피팅앱 라운즈), 금융(엑스포넨셜자산운용) 사업을 영위함. 신사업으로 유료 포인트 사업, NFT 사업, 교육사업 등을 추진하고 있음.
출처 : 에프앤가이드","금융, 앱, AI"
쿠콘,"페이먼트서비스(65.2%), 데이터서비스(29.1%) 등",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 API 상품을 개발하여 비즈니스 데이터를 제공하는 것을 주력사업으로 하고 있음.
주요 사업은 제공되는 정보의 유형에 따라 데이터 서비스(개인정보 API, 기업정보 API, 글로벌 API)와 페이먼트 서비스(간편결제 API, 전자금융 API)로 나뉨.
주요 거래처로는 은행, 보험사, 증권사, 카드사 등의 금융기관과 카카오페이, 네이버 등의 빅테크/핀테크 기업 등이 있음.
출처 : 에프앤가이드","금융, 결제, 은행"
딥노이드,"의료 인공지능플랫폼, 인공지능 임상의사결정 시스템",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 의료 진단ㆍ판독 보조 및 질병 조기진단을 위한 솔루션을 개발하는 의료 인공지능 사업을 영위하고 있음.
식약처 인허가를 받은 총 15 개의 DEEP:AI(의료 인공지능 솔루션) 제품을 보유하고 있으며, 이는 각종 의료 데이터를 인공지능으로 분석하여 질환 분류, 병변 영역 검출, 예후 예측 등의 역할을 수행함.
이외에도 DEEP:PHI (인공지능 개발툴), DEEP:STORE (인공지능 마켓플레이스) 등을 자체 개발함.
출처 : 에프앤가이드","플랫폼, AI"
KG모빌리언스,유무선전화결제서비스,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
온라인/오프라인 상에서 디지털 컨텐츠 및 실물을 구매할 경우에 유/무선(휴대폰) 전화를 이용하여 결제를 할 수 있도록 결제 솔루션을 제공하는 전자지불결제(PG) 업체임.
약 2만7500여개 가맹점에 결제 서비스를 제공함. 케이지에듀원과 케이지에프앤비를 연결대상 종속회사로 보유함.
동사는 24시간 운영을 위해 시스템 및 인력을 추가 배치하여 결제장애 또는 가맹점 문의사항을 즉시 해결하고 있으며, 비상대책시스템을 상시 운영하고 있음.
출처 : 에프앤가이드",결제
MDS테크,"임베디드개발솔루션,임베디드소프트웨어",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 1998년 설립되어 임베디드 시스템 토탈 솔루션 공급 사업을 영위하고 있음.
동사의 사업부문은 임베디드 SW 개발 솔루션부문, 임베디드 시스템 SW 솔루션부문, 기타부문으로 구성되어있음.
동사는 현재 각 지역에서 현재 내수 위주로 사업을 전개하고 있음. 2008년 합병을 통한 호주법인 보유 및 2014년 홍콩법인, 2015년 인도법인, 2018년 중국법인 등을 설립하여 해외로 진출하고 있음.
출처 : 에프앤가이드",기타 하드웨어
웹케시,"에스이알피, 브랜치, 인하우스",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 기업용 금융 핀테크 플랫폼 제공을 주 사업으로 하며, 기타 기업 업무에 필요한 다양한 솔루션의 개발/제공으로 사업 영역을 확장하고 있음.
동사의 금융 핀테크 플랫폼은 금융기관과 기업내부시스템(ERP)을 연계하여, 금융과 회계가 통합된 기업자금관리시스템을 제공함.
사업모델 구조조정을 통해 저마진 'SI 비즈니스'에서 고마진 'SaaS 비즈니스'로의 수익모델 변경을 이루어냄.
출처 : 에프앤가이드","플랫폼, 금융"
