건강관리 장비와 용품,건강관리 업체 및 서비스,건강관리 기술,생물공학,제약,생명과학 도구 및 서비스
오스테오닉,나노엔텍,오스테오닉,에이디엠코리아,부광약품,나노엔텍
나노엔텍,부광약품,나노엔텍,삼성제약,신신제약,부광약품
디알텍,신신제약,에이디엠코리아,셀트리온헬스케어,에이디엠코리아,에이디엠코리아
바이오다인,에이디엠코리아,아미코젠,아미코젠,삼성제약,클리노믹스
클리노믹스,삼성제약,바이오다인,바이오다인,셀트리온헬스케어,에이프로젠 H&G
에이프로젠 H&G,디알텍,클리노믹스,클리노믹스,아미코젠,메디톡스
진시스템,셀트리온헬스케어,진시스템,에이프로젠 H&G,에이프로젠 H&G,올릭스
유비케어,바이오다인,CMG제약,CMG제약,CMG제약,제넥신
비스토스,클리노믹스,올릭스,메디톡스,메디톡스,차바이오텍
경보제약,아미코젠,비스토스,셀트리온,대한약품,비올
셀바스헬스케어,에이프로젠 H&G,셀트리온,차바이오텍,경보제약,에이비엘바이오
이루다,진시스템,이루다,아이센스,셀트리온,옵티팜
비올,CMG제약,제넥신,큐라티스,제넥신,네오펙트
옵티팜,메디톡스,에이비엘바이오,씨엔알리서치,차바이오텍,큐라티스
네오펙트,대한약품,네오펙트,동아에스티,에이비엘바이오,콜마비앤에이치
아이센스,유비케어,한미약품,얼라인드,고려제약,카이노스메드
프리시젼바이오,비스토스,아이센스,JW생명과학,한미약품,제노레이
HLB생명과학,셀바스헬스케어,큐라티스,싸이토젠,알피바이오,동아에스티
플라즈맵,셀트리온,프리시젼바이오,비피도,대봉엘에스,얼라인드
루트로닉,이루다,플라즈맵,테라젠이텍스,에이프로젠바이오로직스,싸이토젠
제노레이,제넥신,대봉엘에스,차백신연구소,에스티팜,테라젠이텍스
동화약품,차바이오텍,카이노스메드,지노믹트리,광동제약,JW중외제약
얼라인드,비올,씨엔알리서치,고바이오랩,콜마비앤에이치,바이오인프라
휴메딕스,고려제약,얼라인드,케이바이오,카이노스메드,알리코제약
디알젬,이지케어텍,JW생명과학,대웅제약,일양약품,차백신연구소
조아제약,네오펙트,싸이토젠,테고사이언스,씨엔알리서치,HLB테라퓨틱스
바이오인프라,한미약품,휴메딕스,대원제약,동화약품,지노믹트리
뷰웍스,알피바이오,씨티씨바이오,박셀바이오,동아에스티,제놀루션
알리코제약,아이센스,뷰웍스,셀리드,JW생명과학,고바이오랩
클래시스,프리시젼바이오,코아스템켐온,파마리서치,휴메딕스,케이바이오
세운메디칼,플라즈맵,차백신연구소,에이프로젠,비피도,박셀바이오
지노믹트리,대봉엘에스,케이바이오,영진약품,테라젠이텍스,셀리드
제놀루션,에이프로젠바이오로직스,라이프시맨틱스,휴온스글로벌,JW중외제약,압타바이오
녹십자엠에스,루트로닉,셀리드,SK바이오사이언스,일성신약,CJ 바이오사이언스
케이바이오,제노레이,파마리서치,한올바이오파마,씨티씨바이오,신라젠
대웅제약,광동제약,압타바이오,큐라클,조아제약,SK바이오사이언스
라이프시맨틱스,콜마비앤에이치,CJ 바이오사이언스,에이비온,바이오인프라,한올바이오파마
대원제약,일양약품,신라젠,알테오젠,알리코제약,제일약품
파마리서치,씨엔알리서치,앱클론,강스템바이오텍,코아스템켐온,큐라클
앱클론,동화약품,국전약품,유바이오로직스,HLB테라퓨틱스,에이비온
피엔케이피부임상연구센타,동아에스티,피엔케이피부임상연구센타,지니너스,환인제약,알테오젠
바텍,얼라인드,제일약품,이노테라피,세운메디칼,노바렉스
레이,휴메딕스,큐라클,보로노이,아미노로직스,강스템바이오텍
이노테라피,비피도,알테오젠,아스타,보령,엔케이맥스
아스타,테라젠이텍스,레이,서린바이오,제놀루션,유바이오로직스
유한양행,JW중외제약,강스템바이오텍,압타머사이언스,고바이오랩,지니너스
제이브이엠,일성신약,지니너스,팜스빌,녹십자엠에스,보로노이
서린바이오,디알젬,이노테라피,헬릭스미스,대웅제약,서린바이오
진매트릭스,이글벳,보로노이,종근당홀딩스,테고사이언스,진매트릭스
엘앤케이바이오,씨티씨바이오,아스타,일동홀딩스,대원제약,엘앤케이바이오
이오플로우,조아제약,진매트릭스,신테카바이오,에이프로젠,압타머사이언스
더블유에스아이,뷰웍스,팜스빌,동구바이오제약,삼아제약,헬릭스미스
인터로조,알리코제약,헬릭스미스,루닛,파마리서치,지아이이노베이션
덴티스,코아스템켐온,이오플로우,HLB바이오스텝,영진약품,더블유에스아이
덴티움,클래시스,일동홀딩스,바이오톡스텍,신라젠,아시아종묘
노을,차백신연구소,지아이이노베이션,코오롱생명과학,휴온스글로벌,바이오에프디엔씨
동구바이오제약,환인제약,신테카바이오,휴젤,SK바이오사이언스,HLB바이오스텝
더메디팜,세운메디칼,하나제약,마이크로디지탈,앱클론,바이오톡스텍
대웅,지노믹트리,인터로조,팬젠,국전약품,중앙백신
신흥,아미노로직스,덴티스,시너지이노베이션,한올바이오파마,코오롱생명과학
HLB,보령,에스씨엠생명과학,지씨셀,녹십자홀딩스,녹십자웰빙
인바디,제놀루션,비보존 제약,제일바이오,피엔케이피부임상연구센타,JW신약
디오,녹십자엠에스,노을,바이넥스,제일약품,샤페론
씨젠,대웅제약,바이오에프디엔씨,우진비앤지,알테오젠,오스코텍
피플바이오,테고사이언스,동구바이오제약,쎌바이오텍,동국제약,에스바이오메딕스
마이크로디지탈,케이바이오,루닛,미코바이오메드,강스템바이오텍,휴젤
프로테옴텍,라이프시맨틱스,바이오톡스텍,에스디바이오센서,엔케이맥스,일동제약
모비스,대원제약,샤페론,티움바이오,서흥,지엘팜텍
시너지이노베이션,에이프로젠,인바디,제테마,엔지켐생명과학,셀바스AI
리메드,삼아제약,마크로젠,에이치엘사이언스,신풍제약,동성제약
대한과학,파마리서치,셀바스AI,케어젠,하이텍팜,큐리언트
EDGC,비트컴퓨터,프로테옴텍,바이오니아,유바이오로직스,제이엘케이
솔고바이오,압타바이오,애드바이오텍,코렌텍,보로노이,대한과학
젠큐릭스,영진약품,제이엘케이,진원생명과학,유한양행,제일바이오
유유제약,CJ 바이오사이언스,팬젠,엘앤씨바이오,경동제약,EDGC
미코바이오메드,SK바이오사이언스,대한과학,애니젠,서울제약,우진비앤지
에스디바이오센서,앱클론,지씨셀,파멥신,압타머사이언스,젠큐릭스
한컴라이프케어,국전약품,비씨월드제약,이수앱지스,이오플로우,에스디바이오센서
피제이전자,한올바이오파마,제일바이오,드림씨아이에스,종근당홀딩스,티움바이오
메디아나,녹십자홀딩스,EDGC,프레스티지바이오로직스,일동홀딩스,제테마
제테마,피엔케이피부임상연구센타,뷰노,셀트리온제약,현대약품,농우바이오
피씨엘,바텍,우진비앤지,셀레믹스,하나제약,세종메디칼
티앤엘,레이,젠큐릭스,제넨바이오,녹십자,케어젠
레이언스,동국제약,미코바이오메드,디엔에이링크,더블유에스아이,바이오니아
세종메디칼,강스템바이오텍,아이큐어,인트론바이오,에스씨엠생명과학,에이치엘사이언스
케어젠,서흥,제테마,퀀타매트릭스,비보존 제약,코렌텍
바이오니아,신풍제약,피씨엘,바이젠셀,바이오에프디엔씨,코스맥스엔비티
휴비츠,지니너스,제노포커스,바이오솔루션,동구바이오제약,메타바이오메드
코렌텍,하이텍팜,티앤엘,티앤알바이오팹,더메디팜,애니젠
메타바이오메드,유바이오로직스,세종메디칼,파나진,그린생명과학,우정바이오
멕아이씨에스,제이브이엠,케어젠,원바이오젠,명문제약,파멥신
엘앤씨바이오,경동제약,에이치엘사이언스,비엘,HLB바이오스텝,이수앱지스
우정바이오,엘앤케이바이오,휴비츠,아이진,네이처셀,드림씨아이에스
이수앱지스,진매트릭스,애니젠,DXVX,바이오톡스텍,JW홀딩스
하이로닉,서울제약,파멥신,바이오노트,한미사이언스,종근당
드림씨아이에스,팜스빌,수젠텍,일신바이오,중앙백신,인벤티지랩
원텍,현대약품,프레스티지바이오로직스,프롬바이오,코오롱생명과학,셀레믹스
수젠텍,신테카바이오,인벤티지랩,나이벡,녹십자웰빙,제넨바이오
씨유메디칼,녹십자,셀레믹스,삼성바이오로직스,JW신약,레고켐바이오
한국비엔씨,더블유에스아이,레고켐바이오,진바이오텍,샤페론,지놈앤컴퍼니
엠아이텍,인터로조,에이프릴바이오,동아쏘시오홀딩스,대웅,에이프릴바이오
제넨바이오,덴티스,한스바이오메드,,오스코텍,디엔에이링크
한스바이오메드,아시아종묘,펩트론,,경남제약,안국약품
퀀타매트릭스,덴티움,인트론바이오,,에스바이오메딕스,퀀타매트릭스
티앤알바이오팹,비보존 제약,엔젠바이오,,HLB,엔젠바이오
파나진,노을,바이젠셀,,휴젤,바이젠셀
원바이오젠,동구바이오제약,바이오솔루션,,일동제약,티앤알바이오팹
지더블유바이텍,루닛,티앤알바이오팹,,지엘팜텍,지더블유바이텍
오리엔트바이오,더메디팜,솔본,,위더스제약,비엘
디티앤씨알오,명문제약,파나진,,코미팜,HLB제약
제이시스메디칼,한미사이언스,종근당바이오,,국제약품,오리엔트바이오
바디텍메드,중앙백신,삼일제약,,애드바이오텍,디티앤씨알오
바이오노트,코오롱생명과학,비엘,,동성제약,HK이노엔
일신바이오,녹십자웰빙,아이진,,큐리언트,아이진
인피니트헬스케어,JW신약,DXVX,,대성미생물,DXVX
한독,대웅,유틸렉스,,메디포스트,바디텍메드
바이오플러스,신흥,바이오노트,,팬젠,유틸렉스
나이벡,오스코텍,바이오플러스,,시너지이노베이션,바이오노트
휴마시스,경남제약,나이벡,,한국유니온제약,일신바이오
동아쏘시오홀딩스,에스바이오메딕스,삼진제약,,비씨월드제약,랩지노믹스
,인바디,메드팩토,,제일바이오,한독
,HLB,,,바이넥스,바이오플러스
,디오,,,우진비앤지,삼성바이오로직스
,휴젤,,,한국파마,진바이오텍
,일동제약,,,진양제약,메드팩토
,마크로젠,,,쎌바이오텍,
,피플바이오,,,유유제약,
,씨젠,,,아이큐어,
,지엘팜텍,,,티움바이오,
,위더스제약,,,제테마,
,코미팜,,,퓨쳐켐,
,국제약품,,,제노포커스,
,동성제약,,,제일파마홀딩스,
,모비스,,,대화제약,
,큐리언트,,,휴온스,
,대성미생물,,,케어젠,
,메디포스트,,,진원생명과학,
,팬젠,,,옵투스제약,
,시너지이노베이션,,,엘앤씨바이오,
,한국유니온제약,,,애니젠,
,대한과학,,,우정바이오,
,지씨셀,,,파멥신,
,비씨월드제약,,,이수앱지스,
,제일바이오,,,드림씨아이에스,
,EDGC,,,JW홀딩스,
,뷰노,,,종근당,
,우진비앤지,,,프레스티지바이오로직스,
,솔고바이오,,,인벤티지랩,
,한국파마,,,셀트리온제약,
,진양제약,,,한국비엔씨,
,젠큐릭스,,,셀레믹스,
,쎌바이오텍,,,팜젠사이언스,
,유유제약,,,레고켐바이오,
,미코바이오메드,,,제넨바이오,
,에스디바이오센서,,,지놈앤컴퍼니,
,한컴라이프케어,,,에이프릴바이오,
,피제이전자,,,펩트론,
,메디아나,,,안국약품,
,농우바이오,,,인트론바이오,
,피씨엘,,,바이젠셀,
,비엘팜텍,,,바이오솔루션,
,퓨쳐켐,,,티앤알바이오팹,
,제일파마홀딩스,,,종근당바이오,
,대화제약,,,삼일제약,
,레이언스,,,삼천당제약,
,티앤엘,,,비엘,
,휴온스,,,HLB제약,
,에이치엘사이언스,,,오리엔트바이오,
,케어젠,,,디티앤씨알오,
,휴비츠,,,HK이노엔,
,코렌텍,,,아이진,
,코스맥스엔비티,,,DXVX,
,메타바이오메드,,,유틸렉스,
,진원생명과학,,,블레이드 Ent,
,멕아이씨에스,,,일신바이오,
,엘앤씨바이오,,,신일제약,
,우정바이오,,,한독,
,이수앱지스,,,바이오플러스,
,하이로닉,,,나이벡,
,드림씨아이에스,,,삼성바이오로직스,
,수젠텍,,,화일약품,
,프레스티지바이오로직스,,,동아쏘시오홀딩스,
,셀트리온제약,,,이연제약,
,씨유메디칼,,,삼진제약,
,셀레믹스,,,메드팩토,
,엠아이텍,,,,
,레고켐바이오,,,,
,팜젠사이언스,,,,
,제넨바이오,,,,
,디엔에이링크,,,,
,펩트론,,,,
,안국약품,,,,
,퀀타매트릭스,,,,
,엔젠바이오,,,,
,바이오솔루션,,,,
,뉴트리,,,,
,솔본,,,,
,파나진,,,,
,지더블유바이텍,,,,
,삼일제약,,,,
,삼천당제약,,,,
,케어랩스,,,,
,비엘,,,,
,오리엔트바이오,,,,
,휴럼,,,,
,HK이노엔,,,,
,DXVX,,,,
,제이시스메디칼,,,,
,바디텍메드,,,,
,유틸렉스,,,,
,바이오노트,,,,
,블레이드 Ent,,,,
,일신바이오,,,,
,인피니트헬스케어,,,,
,신일제약,,,,
,랩지노믹스,,,,
,한독,,,,
,프롬바이오,,,,
,바이오플러스,,,,
,나이벡,,,,
,화일약품,,,,
,진바이오텍,,,,
,동아쏘시오홀딩스,,,,
,이연제약,,,,
,삼진제약,,,,
