건강관리와 서비스,제약과 생물공학
오스테오닉,부광약품
나노엔텍,나노엔텍
부광약품,신신제약
신신제약,에이디엠코리아
디알텍,아미코젠
에이디엠코리아,셀트리온헬스케어
삼성제약,삼성제약
셀트리온헬스케어,바이오다인
바이오다인,클리노믹스
클리노믹스,에이프로젠 H&G
아미코젠,CMG제약
에이프로젠 H&G,메디톡스
진시스템,대한약품
CMG제약,올릭스
메디톡스,경보제약
대한약품,셀트리온
유비케어,제넥신
비스토스,차바이오텍
경보제약,비올
올릭스,에이비엘바이오
셀바스헬스케어,고려제약
셀트리온,옵티팜
이루다,네오펙트
제넥신,한미약품
차바이오텍,알피바이오
비올,아이센스
에이비엘바이오,큐라티스
고려제약,대봉엘에스
옵티팜,에이프로젠바이오로직스
네오펙트,에스티팜
이지케어텍,광동제약
한미약품,콜마비앤에이치
알피바이오,카이노스메드
아이센스,제노레이
큐라티스,일양약품
프리시젼바이오,씨엔알리서치
HLB생명과학,동화약품
플라즈맵,동아에스티
대봉엘에스,얼라인드
루트로닉,JW생명과학
에이프로젠바이오로직스,싸이토젠
제노레이,휴메딕스
광동제약,비피도
콜마비앤에이치,테라젠이텍스
카이노스메드,JW중외제약
일양약품,일성신약
씨엔알리서치,씨티씨바이오
동화약품,조아제약
동아에스티,바이오인프라
얼라인드,알리코제약
JW생명과학,코아스템켐온
싸이토젠,차백신연구소
휴메딕스,HLB테라퓨틱스
비피도,환인제약
테라젠이텍스,세운메디칼
JW중외제약,지노믹트리
디알젬,아미노로직스
일성신약,보령
이글벳,고바이오랩
씨티씨바이오,제놀루션
조아제약,녹십자엠에스
바이오인프라,대웅제약
뷰웍스,케이바이오
알리코제약,테고사이언스
코아스템켐온,대원제약
클래시스,박셀바이오
차백신연구소,셀리드
세운메디칼,파마리서치
환인제약,에이프로젠
지노믹트리,삼아제약
아미노로직스,영진약품
보령,압타바이오
제놀루션,신라젠
녹십자엠에스,CJ 바이오사이언스
대웅제약,휴온스글로벌
라이프시맨틱스,SK바이오사이언스
케이바이오,앱클론
테고사이언스,국전약품
대원제약,한올바이오파마
에이프로젠,녹십자홀딩스
삼아제약,피엔케이피부임상연구센타
파마리서치,제일약품
비트컴퓨터,큐라클
압타바이오,에이비온
영진약품,알테오젠
셀리드,동국제약
CJ 바이오사이언스,강스템바이오텍
신라젠,엔케이맥스
SK바이오사이언스,서흥
앱클론,노바렉스
국전약품,유바이오로직스
한올바이오파마,지니너스
녹십자홀딩스,이노테라피
피엔케이피부임상연구센타,엔지켐생명과학
바텍,보로노이
제일약품,아스타
큐라클,신풍제약
레이,하이텍팜
알테오젠,서린바이오
동국제약,유한양행
강스템바이오텍,경동제약
서흥,진매트릭스
신풍제약,엘앤케이바이오
지니너스,서울제약
이노테라피,압타머사이언스
하이텍팜,팜스빌
유바이오로직스,헬릭스미스
아스타,이오플로우
유한양행,종근당홀딩스
제이브이엠,일동홀딩스
서린바이오,현대약품
보로노이,지아이이노베이션
진매트릭스,신테카바이오
엘앤케이바이오,하나제약
경동제약,녹십자
서울제약,더블유에스아이
팜스빌,에스씨엠생명과학
헬릭스미스,아시아종묘
이오플로우,비보존 제약
현대약품,바이오에프디엔씨
일동홀딩스,동구바이오제약
지아이이노베이션,루닛
신테카바이오,더메디팜
하나제약,그린생명과학
더블유에스아이,명문제약
인터로조,HLB바이오스텝
녹십자,네이처셀
덴티스,바이오톡스텍
아시아종묘,한미사이언스
에스씨엠생명과학,중앙백신
덴티움,코오롱생명과학
비보존 제약,녹십자웰빙
노을,JW신약
바이오에프디엔씨,샤페론
동구바이오제약,대웅
더메디팜,오스코텍
루닛,경남제약
명문제약,에스바이오메딕스
바이오톡스텍,HLB
한미사이언스,휴젤
중앙백신,일동제약
코오롱생명과학,지엘팜텍
녹십자웰빙,셀바스AI
JW신약,마이크로디지탈
대웅,위더스제약
샤페론,코미팜
신흥,국제약품
오스코텍,애드바이오텍
경남제약,동성제약
HLB,큐리언트
인바디,제이엘케이
에스바이오메딕스,대성미생물
디오,메디포스트
씨젠,팬젠
휴젤,시너지이노베이션
일동제약,한국유니온제약
피플바이오,대한과학
마크로젠,지씨셀
지엘팜텍,비씨월드제약
셀바스AI,제일바이오
마이크로디지탈,EDGC
프로테옴텍,바이넥스
위더스제약,우진비앤지
코미팜,한국파마
국제약품,젠큐릭스
애드바이오텍,진양제약
동성제약,쎌바이오텍
모비스,유유제약
큐리언트,미코바이오메드
제이엘케이,에스디바이오센서
대성미생물,아이큐어
메디포스트,티움바이오
팬젠,제테마
시너지이노베이션,농우바이오
한국유니온제약,퓨쳐켐
리메드,제노포커스
대한과학,제일파마홀딩스
지씨셀,대화제약
비씨월드제약,휴온스
제일바이오,에이치엘사이언스
EDGC,바이오니아
뷰노,케어젠
우진비앤지,세종메디칼
솔고바이오,코렌텍
젠큐릭스,코스맥스엔비티
한국파마,메타바이오메드
진양제약,진원생명과학
유유제약,옵투스제약
쎌바이오텍,엘앤씨바이오
미코바이오메드,애니젠
에스디바이오센서,우정바이오
아이큐어,파멥신
한컴라이프케어,이수앱지스
피제이전자,드림씨아이에스
메디아나,JW홀딩스
제테마,종근당
농우바이오,프레스티지바이오로직스
피씨엘,인벤티지랩
비엘팜텍,셀트리온제약
퓨쳐켐,한국비엔씨
제노포커스,셀레믹스
제일파마홀딩스,제넨바이오
대화제약,팜젠사이언스
티앤엘,레고켐바이오
레이언스,지놈앤컴퍼니
휴온스,에이프릴바이오
세종메디칼,디엔에이링크
케어젠,펩트론
바이오니아,안국약품
휴비츠,인트론바이오
코렌텍,퀀타매트릭스
에이치엘사이언스,엔젠바이오
메타바이오메드,바이젠셀
코스맥스엔비티,바이오솔루션
멕아이씨에스,티앤알바이오팹
엘앤씨바이오,파나진
진원생명과학,원바이오젠
우정바이오,종근당바이오
애니젠,지더블유바이텍
이수앱지스,삼일제약
하이로닉,삼천당제약
파멥신,비엘
드림씨아이에스,아이진
원텍,HLB제약
수젠텍,오리엔트바이오
프레스티지바이오로직스,디티앤씨알오
인벤티지랩,HK이노엔
셀트리온제약,DXVX
씨유메디칼,바디텍메드
한국비엔씨,유틸렉스
엠아이텍,바이오노트
제넨바이오,일신바이오
셀레믹스,블레이드 Ent
레고켐바이오,랩지노믹스
팜젠사이언스,신일제약
에이프릴바이오,한독
디엔에이링크,프롬바이오
한스바이오메드,바이오플러스
펩트론,나이벡
안국약품,삼성바이오로직스
퀀타매트릭스,화일약품
인트론바이오,진바이오텍
엔젠바이오,동아쏘시오홀딩스
바이젠셀,이연제약
바이오솔루션,삼진제약
뉴트리,메드팩토
티앤알바이오팹,
솔본,
파나진,
원바이오젠,
지더블유바이텍,
종근당바이오,
삼일제약,
삼천당제약,
케어랩스,
오리엔트바이오,
비엘,
디티앤씨알오,
휴럼,
HK이노엔,
아이진,
제이시스메디칼,
DXVX,
바디텍메드,
유틸렉스,
바이오노트,
일신바이오,
블레이드 Ent,
인피니트헬스케어,
신일제약,
랩지노믹스,
한독,
프롬바이오,
바이오플러스,
나이벡,
화일약품,
휴마시스,
진바이오텍,
동아쏘시오홀딩스,
이연제약,
삼진제약,
메드팩토,
