가스,에너지,석유,생산,저장,에너지 장비,정제,전기 생산,전기 배급,가스 제조,가스 배급,에너지 거래,독립 전력 생산,유틸리티,복합 공익 사업체
GS,GS,SK이노베이션,SK이노베이션,DGP,스페코,HD현대,대성에너지,대성에너지,대성에너지,대성에너지,대성에너지,지역난방공사,한전기술,삼천리
대성산업,SK이노베이션,극동유화,극동유화,,에스에너지,S-Oil,지역난방공사,지역난방공사,SK가스,SK가스,SK가스,한전KPS,,
SK디스커버리,대성산업,대성산업,대성산업,,HD현대에너지솔루션,,한진중공업홀딩스,한진중공업홀딩스,E1,E1,지역난방공사,,,
에코바이오,DGP,흥구석유,DGP,,수산인더스트리,,한전산업,한전산업,한진중공업홀딩스,한진중공업홀딩스,삼천리,,,
중앙에너비스,스페코,S-Oil,제이씨케미칼,,,,한전KPS,한전KPS,대성홀딩스,대성홀딩스,한전산업,,,
한국쉘석유,에스에너지,중앙에너비스,HD현대에너지솔루션,,,,,,인천도시가스,인천도시가스,한전KPS,,,
,제이씨케미칼,한국쉘석유,SK디스커버리,,,,,,경동도시가스,경동도시가스,한국가스공사,,,
,금양그린파워,,서남,,,,,,삼천리,삼천리,,,,
,에스아이리소스,,씨에스윈드,,,,,,한국가스공사,한국가스공사,,,,
,파루,,오르비텍,,,,,,지에스이,지에스이,,,,
,SDN,,유니슨,,,,,,,,,,,
,바이온,,태웅,,,,,,,,,,,
,비에이치아이,,SGC에너지,,,,,,,,,,,
,윌링스,,한국쉘석유,,,,,,,,,,,
,에코바이오,,,,,,,,,,,,,
,대명에너지,,,,,,,,,,,,,
,중앙에너비스,,,,,,,,,,,,,
,SGC에너지,,,,,,,,,,,,,
,수산인더스트리,,,,,,,,,,,,,
,이아이디,,,,,,,,,,,,,
,한국쉘석유,,,,,,,,,,,,,
,지오릿에너지,,,,,,,,,,,,,