반도체,IT 서비스,전기와전자제품,디스플레이,하드웨어,에너지 장비 및 서비스,석유와 가스,에너지,전기유틸리티,가스유틸리티,복합유틸리티,독립 전력 생산 및 에너지 거래,유틸리티,전기통신 서비스,미디어와 엔터테인먼트,커뮤니케이션,식품과 기본 식료품 소매,음식료품,가정용품과 개인용품,은행,증권,다각화된 금융,보험,부동산,화학,포장재,비철금속,철강,종이와 목재,자본재,상업서비스와 공급품,운송,자동차와 부품,내구소비재와 의류,"호텔, 레스토랑, 레저 등",소매(유통),교육서비스,건강관리와 서비스,제약과 생물공학
서플러스글로벌,코콤,유비벨록스,참엔지니어링,와이팜,,,,,,,,,,웹젠,,커머스마이너,보라티알,,,,부국증권,,,켐트로스,아이티센,,,성창기업지주,하이록코리아,희림,나이스디앤비,KR모터스,메타랩스,본느,알톤스포츠,,클래시스,박셀바이오
테스,코나아이,하나기술,미래나노텍,텔레필드,,,,,,,,,,NAVER,,흥국에프엔비,롯데웰푸드,,,,엠벤처투자,,,동남합성,한창산업,,,신대양제지,대창솔루션,HD현대일렉트릭,하이즈항공,대유에이텍,알톤스포츠,세기상사,모토닉,,차백신연구소,셀리드
DB하이텍,파이오링크,재영솔루텍,제이스텍,아이즈비전,,,,,,,,,,조이시티,,스피어파워,에스앤디,,,,큐캐피탈,,,쎄니트,고려제강,,,삼륭물산,HL D&I,한국카본,인화정공,서연탑메탈,토니모리,골프존,일진하이솔루스,,세운메디칼,파마리서치
SFA반도체,광전자,하이비젼시스템,LG디스플레이,대주전자재료,,,,,,,,,,넥슨게임즈,,사조대림,체리부로,,,,우리기술투자,,,태광산업,대륙제관,,,경인양행,대모,도화엔지니어링,다스코,풍강,큐렉소,신성델타테크,큐렉소,,환인제약,에이프로젠
라온테크,SGA솔루션즈,동양이엔피,베셀,이미지스,,,,,,,,,,크래프톤,,,남양유업,,,,KB금융,,,경인양행,국일신동,,,무림P&P,대한해운,코아스,테라사이언스,한국화장품,코리아나,위즈코프,대원강업,,지노믹트리,삼아제약
기가레인,쿠콘,한일진공,우리바이오,알에프텍,,,,,,,,,,제일기획,,,케이씨피드,,,,SV인베스트먼트,,,무림P&P,포스코엠텍,,,쎄노텍,신진에스엠,상지카일룸,아이에스동서,유라테크,대원강업,아이에스이커머스,모나미,,아미노로직스,영진약품
아이앤씨,케이씨에스,경인전자,영우디에스피,신라섬유,,,,,,,,,,NHN벅스,,,해태제과식품,,,,린드먼아시아,,,SH에너지화학,세하,,,무림SP,가온전선,KSS해운,에스와이,오토앤,모나미,신세계푸드,자이글,,보령,압타바이오
유진테크,케이엘넷,디에이피,동아엘텍,에치에프알,,,,,,,,,,썸에이지,,,매일홀딩스,,,,SK증권,,,엔피케이,펌텍코리아,,,엔피케이,제이엠아이,한국기업평가,HD현대건설기계,삼원강재,자이글,모두투어,KB오토시스,,제놀루션,신라젠
케이알엠,가온그룹,탑엔지니어링,LX세미콘,머큐리,,,,,,,,,,펄어비스,,,현대코퍼레이션홀딩스,,,,,,,후성,풍산홀딩스,,,엔터파트너즈,아이마켓코리아,한신공영,유진로봇,삼성출판사,KB오토시스,이녹스,엠에스오토텍,,녹십자엠에스,CJ 바이오사이언스
매커스,이니텍,바이오로그디바이스,브이원텍,아이크래프트,,,,,,,,,,티쓰리,,,보해양조,,,,,,,케이디켐,남선알미늄,,,파버나인,진성티이씨,유신,웰크론한텍,메타랩스,엠에스오토텍,바른손,평화홀딩스,,대웅제약,휴온스글로벌
코맥스,샌즈랩,새빗켐,아나패스,고영,,,,,,,,,,위메이드플레이,,,한일사료,,,,,,,미원에스씨,제일연마,,,케이디켐,HD한국조선해양,롯데렌탈,태웅로직스,알톤스포츠,SNT모티브,비상교육,SNT모티브,,라이프시맨틱스,SK바이오사이언스
삼성전자,트윔,옵트론텍,DMS,삼성전기,,,,,,,,,,미투온,,,보락,,,,,,,코스모신소재,한국팩키지,,,미원에스씨,성신양회,LG,선광,모토닉,캐스텍코리아,영원무역홀딩스,위니아에이드,,케이바이오,앱클론
하이딥,리노스,엘컴텍,에이텍,휴림네트웍스,,,,,,,,,,엔비티,,,커머스마이너,,,,,,,DSR제강,대호특수강,,,DSR제강,에너토크,대원,서산,일진하이솔루스,위니아에이드,아이윈,캐스텍코리아,,테고사이언스,국전약품
오픈엣지테크놀로지,모니터랩,슈프리마,엘엠에스,엔피디,,,,,,,,,,스튜디오산타클로스,,,흥국에프엔비,,,,,,,알루코,KPX케미칼,,,코스모신소재,LIG넥스원,대우건설,삼표시멘트,토니모리,HL홀딩스,아이톡시,HL홀딩스,,대원제약,한올바이오파마
엠케이전자,삼진,캠시스,예선테크,앤씨앤,,,,,,,,,,SM C&C,,,사조대림,,,,,,,승일,KG스틸,,,알루코,보광산업,HSD엔진,티웨이홀딩스,코리아나,에이블씨엔씨,웅진씽크빅,에이블씨엔씨,,에이프로젠,녹십자홀딩스
제우스,포시에스,피엔티,,에이스테크,,,,,,,,,,KX,,,,,,,,,,SKC,,,,승일,에쓰씨엔지니어링,베노티앤알,효성,대원강업,YW,예스24,YW,,삼아제약,피엔케이피부임상연구센타
하이소닉,유비쿼스,두산퓨얼셀,,케이엠더블유,,,,,,,,,,THE E&M,,,,,,,,,,만호제강,,,,SKC,프럼파스트,팬오션,모헨즈,KB오토시스,까스텔바작,코웨이,까스텔바작,,파마리서치,제일약품
네패스,아이티아이즈,슈피겐코리아,,성우전자,,,,,,,,,,네오위즈,,,,,,,,,,WISCOM,,,,WISCOM,에어부산,이화공영,쎄트렉아이,엠에스오토텍,디딤이앤에프,남화산업,폴라리스세원,,비트컴퓨터,큐라클
지오엘리먼트,이글루,비에이치,,에스티큐브,,,,,,,,,,키이스트,,,,,,,,,,티플랙스,,,,티플랙스,한화,누리플랜,에이스침대,자이글,대원화성,성우하이텍,씨티알모빌리티,,압타바이오,에이비온
HPSP,이노인스트루먼트,인포마크,,상신이디피,,,,,,,,,,이엠넷,,,,,,,,,,코오롱인더,,,,락앤락,토탈소프트,동양,삼성엔지니어링,평화홀딩스,비비안,코데즈컴바인,비비안,,영진약품,알테오젠
제이티,코맥스,엠플러스,,웨이브일렉트로,,,,,,,,,,디어유,,,,,,,,,,AK홀딩스,,,,삼양패키징,HDC랩스,드림시큐리티,대한전선,원풍물산,구영테크,크린앤사이언스,구영테크,,셀리드,동국제약
일진디스플,카카오페이,이노메트리,,CS,,,,,,,,,,액션스퀘어,,,,,,,,,,세아베스틸지주,,,,무림페이퍼,수산중공업,유수홀딩스,범양건영,SNT모티브,엔에프씨,서부T&D,디지털대성,,CJ 바이오사이언스,강스템바이오텍
제이엠티,NICE,에이에프더블류,,블루콤,,,,,,,,,,하이브,,,,,,,,,,무림페이퍼,,,,연우,리파인,포스코인터내셔널,한화시스템,캐스텍코리아,커넥트웨이브,코드네이처,커넥트웨이브,,신라젠,엔케이맥스
KX하이텍,플랜티넷,지아이텍,,한국컴퓨터,,,,,,,,,,나스미디어,,,,,,,,,,한국알콜,,,,와이오엠,노루홀딩스,유니온,노루페인트,위니아에이드,삼성공조,내츄럴엔도텍,한일단조,,SK바이오사이언스,서흥
GST,에이텍모빌리티,원준,,쏠리드,,,,,,,,,,플레이위드,,,,,,,,,,롯데케미칼,,,,삼화왕관,한라IMS,GS건설,한일홀딩스,HL홀딩스,강원랜드,서연,삼성공조,,앱클론,노바렉스
하나마이크론,피피아이,LG디스플레이,,한솔테크닉스,,,,,,,,,,CJ ENM,,,,,,,,,,효성화학,,,,한국알콜,동방선기,HDC,희림,에이블씨엔씨,성안,LS네트웍스,크리스에프앤씨,,국전약품,유바이오로직스
케이씨,에스에스알,에스퓨얼셀,,아모센스,,,,,,,,,,룽투코리아,,,,,,,,,,문배철강,,,,제이스코홀딩스,윈하이텍,세방,대원전선,YW,한국큐빅,경방,한국큐빅,,한올바이오파마,지니너스
옴니시스템,원티드랩,에이치앤비디자인,,유비벨록스,,,,,,,,,,CJ CGV,,,,,,,,,,한일화학,,,,대한제강,쏘카,동부건설,한국카본,폴라리스세원,크리스에프앤씨,BGF리테일,모베이스전자,,녹십자홀딩스,이노테라피
SK하이닉스,티라유텍,트루엔,,재영솔루텍,,,,,,,,,,아프리카TV,,,,,,,,,,미원상사,,,,롯데케미칼,LS,STX,웰바이오텍,까스텔바작,아이패밀리에스씨,그리티,휠라홀딩스,,피엔케이피부임상연구센타,엔지켐생명과학
디아이,브리지텍,브이원텍,,하이비젼시스템,,,,,,,,,,스튜디오미르,,,,,,,,,,원익머트리얼즈,,,,효성화학,HD현대중공업,홈센타홀딩스,한익스프레스,대원화성,씨앤투스,BGF에코머티리얼즈,엔브이에이치코리아,,바텍,보로노이
이라이콤,현대에이치티,LG에너지솔루션,,컨버즈,,,,,,,,,,LG헬로비전,,,,,,,,,,TCC스틸,,,,미원상사,기신정기,국영지앤엠,와이지-원,씨티알모빌리티,모베이스전자,한국콜마홀딩스,삼기이브이,,제일약품,아스타
저스템,씨아이테크,코아시아씨엠,,한일진공,,,,,,,,,,아이오케이,,,,,,,,,,세아특수강,,,,TCC스틸,태영건설,SG,켄코아에어로스페이스,비비안,휠라홀딩스,,에스맥,,큐라클,신풍제약
예스티,한컴위드,,,디에이피,,,,,,,,,,초록뱀컴퍼니,,,,,,,,,,이구산업,,,,원익머트리얼즈,웰크론,삼호개발,도화엔지니어링,구영테크,효성티앤씨,,코웰패션,,레이,하이텍팜
엔시트론,엠로,,,탑엔지니어링,,,,,,,,,,자이언트스텝,,,,,,,,,,깨끗한나라,,,,이구산업,지엔씨에너지,STX중공업,비츠로테크,커넥트웨이브,삼기이브이,,이퓨쳐,,알테오젠,서린바이오
티에프이,텔코웨어,,,유일에너테크,,,,,,,,,,SBS,,,,,,,,,,아셈스,,,,깨끗한나라,대동,에넥스,흥아해운,엔에프씨,에스맥,,메디앙스,,동국제약,유한양행
비케이홀딩스,TJ미디어,,,씨엔플러스,,,,,,,,,,포바이포,,,,,,,,,,태경비케이,,,,NI스틸,우림피티에스,우원개발,자이에스앤디,한일단조,금호타이어,,우수AMS,,강스템바이오텍,경동제약
제너셈,유엔젤,,,바이오로그디바이스,,,,,,,,,,아시아경제,,,,,,,,,,일진다이아,,,,아셈스,동원개발,디와이,KSS해운,삼성공조,코웰패션,,위니아,,서흥,진매트릭스
엘오티베큠,알체라,,,옵트론텍,,,,,,,,,,컴투스,,,,,,,,,,광진실업,,,,태경비케이,아시아나항공,한화오션,상지카일룸,성안,이퓨쳐,,유니켐,,신풍제약,엘앤케이바이오
테크윙,우리넷,,,엘컴텍,,,,,,,,,,SAMG엔터,,,,,,,,,,동국알앤에스,,,,일진다이아,덕신하우징,사람인,한국기업평가,크리스에프앤씨,메디앙스,,휴비스,,지니너스,서울제약
마이크로투나노,솔트룩스,,,캠시스,,,,,,,,,,대원미디어,,,,,,,,,,진양홀딩스,,,,광진실업,HDC현대산업개발,일승,한신공영,한국큐빅,유니켐,,티피씨글로벌,,이노테라피,압타머사이언스
오킨스전자,알로이스,,,슈프리마,,,,,,,,,,초록뱀이앤엠,,,,,,,,,,효성오앤비,,,,한국선재,레인보우로보틱스,에스원,롯데렌탈,아이패밀리에스씨,위니아,,도이치모터스,,하이텍팜,팜스빌
오션브릿지,엔텔스,,,디스플레이텍,,,,,,,,,,YTN,,,,,,,,,,원익큐브,,,,동국알앤에스,범한퓨얼셀,현대무벡스,유신,씨앤투스,우수AMS,,하츠,,유바이오로직스,헬릭스미스
유니테스트,나무기술,,,슈피겐코리아,,,,,,,,,,,,,,,,,,,,세아제강,,,,삼보산업,나이스디앤비,와이엔텍,LG,모베이스전자,씨앤씨인터내셔널,,DN오토모티브,,아스타,이오플로우
비아트론,케이사인,,,비에이치,,,,,,,,,,,,,,,,,,,,한솔홀딩스,,,,진양홀딩스,하이즈항공,비나텍,대원,휠라홀딩스,세화피앤씨,,에스엘,,유한양행,종근당홀딩스
HLB이노베이션,이노뎁,,,다보링크,,,,,,,,,,,,,,,,,,,,OCI홀딩스,,,,대동스틸,KCC건설,디케이락,광명전기,엔브이에이치코리아,휴비스,,평화산업,,제이브이엠,일동홀딩스
픽셀플러스,인지소프트,,,LG이노텍,,,,,,,,,,,,,,,,,,,,POSCO홀딩스,,,,동국S&C,웰크론한텍,부산산업,대우건설,효성티앤씨,하츠,,모베이스,,서린바이오,현대약품
텔레칩스,이노시뮬레이션,,,RF머트리얼즈,,,,,,,,,,,,,,,,,,,,국도화학,,,,효성오앤비,태웅로직스,SCI평가정보,팬오션,삼기이브이,에스엘,,손오공,,보로노이,지아이이노베이션
바이옵트로,세중,,,LG디스플레이,,,,,,,,,,,,,,,,,,,,삼영,,,,원익큐브,티웨이홀딩스,아세아시멘트,베노티앤알,에스맥,대한방직,,현대백화점,,진매트릭스,신테카바이오
포인트엔지니어링,카페24,,,상아프론테크,,,,,,,,,,,,,,,,,,,,태경케미컬,,,,세아제강,모헨즈,자연과환경,이화공영,코웰패션,케이엠,,아이비김영,,엘앤케이바이오,하나제약
더코디,아톤,,,에이엔피,,,,,,,,,,,,,,,,,,,,금양,,,,나노씨엠에스,에이스침대,태광,동양,금호타이어,모베이스,,골드앤에스,,경동제약,녹십자
필에너지,인포바인,,,엑스큐어,,,,,,,,,,,,,,,,,,,,대한화섬,,,,SK케미칼,신원종합개발,HMM,드림시큐리티,우수AMS,올리패스,,디아이씨,,서울제약,더블유에스아이
티에스이,한국전자금융,,,뉴프렉스,,,,,,,,,,,,,,,,,,,,영보화학,,,,OCI홀딩스,희림,다원시스,HDC,유니켐,블리츠웨이,,대원산업,,팜스빌,에스씨엠생명과학
라온텍,KG이니시스,,,트루엔,,,,,,,,,,,,,,,,,,,,대한유화,,,,국도화학,웰바이오텍,효성중공업,유수홀딩스,위니아,새로닉스,,화신정공,,헬릭스미스,아시아종묘
코스텍시스,이미지스,,,빛샘전자,,,,,,,,,,,,,,,,,,,,휴스틸,,,,삼영,한익스프레스,동신건설,유니온,메디앙스,화신정공,,디젠스,,이오플로우,비보존 제약
LB루셈,핸디소프트,,,코아시아씨엠,,,,,,,,,,,,,,,,,,,,율촌화학,,,,태경케미컬,에스에프에이,DL이앤씨,대한항공,씨앤씨인터내셔널,CBI,,CBI,,현대약품,바이오에프디엔씨
에스티아이,알서포트,,,다산네트웍스,,,,,,,,,,,,,,,,,,,,육일씨엔에쓰,,,,금양,상지카일룸,삼영이엔씨,GS건설,세화피앤씨,감성코퍼레이션,,서연이화,,일동홀딩스,동구바이오제약
APS,대아티아이,,,,,,,,,,,,,,,,,,,,,,,레몬,,,,영보화학,한신공영,꿈비,한창,휴비스,SNT다이내믹스,,베뉴지,,지아이이노베이션,루닛
피엠티,링크제니시스,,,,,,,,,,,,,,,,,,,,,,,성보화학,,,,대한유화,LG,삼일씨엔에스,세방,티피씨글로벌,로보로보,,한온시스템,,신테카바이오,더메디팜
월덱스,한국정보공학,,,,,,,,,,,,,,,,,,,,,,,씨큐브,,,,세림B&G,HSD엔진,동방,현대지에프홀딩스,도이치모터스,세종공업,,체시스,,하나제약,그린생명과학
지니틱스,SGA,,,,,,,,,,,,,,,,,,,,,,,나노캠텍,,,,휴스틸,팬오션,KTis,동부건설,DN오토모티브,코디,,감성코퍼레이션,,더블유에스아이,명문제약
KEC,아이크래프트,,,,,,,,,,,,,,,,,,,,,,,KISCO홀딩스,,,,영풍제지,누리플랜,이엔코퍼레이션,STX,에스엘,한섬,,SNT다이내믹스,,인터로조,HLB바이오스텝
샘씨엔에스,헥토파이낸셜,,,,,,,,,,,,,,,,,,,,,,,고려제강,,,,율촌화학,동양,에이트원,삼일,하츠,더네이쳐홀딩스,,세종공업,,녹십자,네이처셀
한미반도체,디모아,,,,,,,,,,,,,,,,,,,,,,,대륙제관,,,,아주스틸,포스코인터내셔널,대창솔루션,홈센타홀딩스,대한방직,피에이치에이,,한섬,,덴티스,바이오톡스텍
에이팩트,에스넷,,,,,,,,,,,,,,,,,,,,,,,나노브릭,,,,영흥,유니온,현대코퍼레이션,국영지앤엠,케이엠,삼기,,케이비아이동국실업,,아시아종묘,한미사이언스
원익IPS,이노와이어리스,,,,,,,,,,,,,,,,,,,,,,,코스모화학,,,,PI첨단소재,대한항공,HL D&I,한국항공우주,평화산업,F&F,,더네이쳐홀딩스,,에스씨엠생명과학,중앙백신
피에스케이홀딩스,휴림네트웍스,,,,,,,,,,,,,,,,,,,,,,,KG ETS,,,,진양화학,GS건설,오리엔탈정공,SG,모베이스,KG모빌리티,,피에이치에이,,덴티움,코오롱생명과학
젬백스,바이브컴퍼니,,,,,,,,,,,,,,,,,,,,,,,동양철관,,,,동원시스템즈,KD,3S,삼호개발,올리패스,에브리봇,,기아,,비보존 제약,녹십자웰빙
동진쎄미켐,에이스테크,,,,,,,,,,,,,,,,,,,,,,,남해화학,,,,레몬,국영지앤엠,SG&G,STX중공업,현대백화점,롯데하이마트,,삼기,,노을,JW신약
리노공업,APS,,,,,,,,,,,,,,,,,,,,,,,KCI,,,,성보화학,한국항공우주,대한해운,에넥스,블리츠웨이,배럴,,F&F,,바이오에프디엔씨,샤페론
제주반도체,미래아이앤지,,,,,,,,,,,,,,,,,,,,,,,나노,,,,파미셀,삼호개발,코오롱글로벌,롯데지주,새로닉스,클리오,,KG모빌리티,,동구바이오제약,대웅
한국전자홀딩스,와이더플래닛,,,,,,,,,,,,,,,,,,,,,,,한국주강,,,,KISCO홀딩스,STX중공업,뉴로메카,AJ네트웍스,디아이씨,조광피혁,,롯데하이마트,,더메디팜,오스코텍
마이크로컨텍솔,현대오토에버,,,,,,,,,,,,,,,,,,,,,,,동성화인텍,,,,나노캠텍,AJ네트웍스,나이스정보통신,유진기업,대원산업,에코플라스틱,,에브리봇,,루닛,경남제약
윈팩,한국정보통신,,,,,,,,,,,,,,,,,,,,,,,세하,,,,고려제강,디와이피엔에프,제이엠아이,현대로템,화신정공,티에이치엔,,배럴,,명문제약,에스바이오메딕스
하나기술,지니언스,,,,,,,,,,,,,,,,,,,,,,,조비,,,,대륙제관,인터지스,HJ중공업,우원개발,디젠스,모다이노칩,,대유플러스,,바이오톡스텍,HLB
원익QnC,코닉오토메이션,,,,,,,,,,,,,,,,,,,,,,,풍산홀딩스,,,,나노브릭,태광,아이마켓코리아,디와이,CBI,ES큐브,,에코플라스틱,,한미사이언스,휴젤
피델릭스,플래티어,,,,,,,,,,,,,,,,,,,,,,,디씨엠,,,,국일신동,퍼스텍,모델솔루션,한화오션,서연이화,덕성,,티에이치엔,,중앙백신,일동제약
에스앤에스텍,메디프론,,,,,,,,,,,,,,,,,,,,,,,KBG,,,,코스모화학,삼영이엔씨,이크레더블,수성샐바시온,한온시스템,브랜드엑스코퍼레이션,,영화금속,,코오롱생명과학,지엘팜텍
오디텍,데이타솔루션,,,,,,,,,,,,,,,,,,,,,,,LG화학,,,,KG ETS,화성밸브,에스엠코어,사람인,체시스,현대모비스,,ES큐브,,녹십자웰빙,셀바스AI
한양디지텍,투비소프트,,,,,,,,,,,,,,,,,,,,,,,남선알미늄,,,,포스코엠텍,혜인,에너토크,TYM,감성코퍼레이션,아가방컴퍼니,,모다이노칩,,JW신약,마이크로디지탈
SK스퀘어,더존비즈온,,,,,,,,,,,,,,,,,,,,,,,한국팩키지,,,,남해화학,한솔홈데코,두산,케이엔솔,SNT다이내믹스,태평양물산,,덕성,,대웅,위더스제약
와이씨켐,토마토시스템,,,,,,,,,,,,,,,,,,,,,,,대호특수강,,,,KCI,뉴로메카,제룡산업,인터지스,로보로보,피코그램,,정상제이엘에스,,샤페론,코미팜
테크엘,영림원소프트랩,,,,,,,,,,,,,,,,,,,,,,,동일철강,,,,나노,두산,한샘,세진중공업,세종공업,모트렉스,,브랜드엑스코퍼레이션,,신흥,국제약품
에스에이티이엔지,이브이첨단소재,,,,,,,,,,,,,,,,,,,,,,,동성케미컬,,,,한국주강,오하임아이엔티,에쓰씨엔지니어링,에스원,코디,네오티스,,현대모비스,,오스코텍,애드바이오텍
미래반도체,모코엠시스,,,,,,,,,,,,,,,,,,,,,,,KPX케미칼,,,,세하,이건홀딩스,코엔텍,현대무벡스,케이비아이동국실업,인팩,,아가방컴퍼니,,경남제약,동성제약
신성이엔지,링네트,,,,,,,,,,,,,,,,,,,,,,,KPX홀딩스,,,,HRS,KC코트렐,천일고속,와이엔텍,한섬,현대홈쇼핑,,태평양물산,,HLB,큐리언트
두산퓨얼셀,소프트캠프,,,,,,,,,,,,,,,,,,,,,,,,,,,펌텍코리아,금강공업,KC코트렐,비나텍,더네이쳐홀딩스,브이씨,,크레버스,,인바디,제이엘케이
에프에스티,라온피플,,,,,,,,,,,,,,,,,,,,,,,,,,,부국철강,SNT에너지,오하임아이엔티,부산산업,피에이치에이,오텍,,동원금속,,에스바이오메딕스,대성미생물
엑시콘,슈프리마에이치큐,,,,,,,,,,,,,,,,,,,,,,,,,,,풍산홀딩스,영풍정밀,고려신용정보,티에스아이,기아,에코캡,,피코그램,,디오,메디포스트
유니셈,폴라리스오피스,,,,,,,,,,,,,,,,,,,,,,,,,,,디씨엠,스맥,진에어,SCI평가정보,삼기,신세계인터내셔날,,모트렉스,,씨젠,팬젠
램테크놀러지,웹케시,,,,,,,,,,,,,,,,,,,,,,,,,,,KBG,동화기업,진흥기업,태광,F&F,대현,,네오티스,,휴젤,시너지이노베이션
LB세미콘,삼성에스디에스,,,,,,,,,,,,,,,,,,,,,,,,,,,LG화학,셀루메드,한솔로지스틱스,HMM,KG모빌리티,젬백스링크,,용평리조트,,일동제약,한국유니온제약
주성엔지니어링,포스코DX,,,,,,,,,,,,,,,,,,,,,,,,,,,남선알미늄,LX인터내셔널,화성산업,벽산,롯데하이마트,화승코퍼레이션,,인팩,,피플바이오,대한과학
원준,윈스,,,,,,,,,,,,,,,,,,,,,,,,,,,제일연마,플래스크,듀오백,동신건설,에브리봇,노랑풍선,,현대홈쇼핑,,마크로젠,지씨셀
자람테크놀로지,쏠리드,,,,,,,,,,,,,,,,,,,,,,,,,,,신풍,빅텍,SNT에너지,DL이앤씨,배럴,아우딘퓨쳐스,,현대위아,,지엘팜텍,비씨월드제약
타이거일렉,수산아이앤티,,,,,,,,,,,,,,,,,,,,,,,,,,,한국팩키지,한일현대시멘트,영풍정밀,삼영이엔씨,대유플러스,이원컴포텍,,오텍,,셀바스AI,제일바이오
베셀,유비벨록스,,,,,,,,,,,,,,,,,,,,,,,,,,,동일철강,동일금속,서한,국보,에코플라스틱,아모레퍼시픽,,에코캡,,마이크로디지탈,EDGC
로체시스템즈,비플라이소프트,,,,,,,,,,,,,,,,,,,,,,,,,,,동성케미컬,코메론,LX인터내셔널,동방,클리오,코스나인,,신세계인터내셔날,,프로테옴텍,바이넥스
한솔아이원스,재영솔루텍,,,,,,,,,,,,,,,,,,,,,,,,,,,KPX케미칼,에스앤더블류,디와이파워,SK오션플랜트,조광피혁,호전실업,,대현,,위더스제약,우진비앤지
영우디에스피,씨유박스,,,,,,,,,,,,,,,,,,,,,,,,,,,KG스틸,CJ대한통운,휴림로봇,KTis,티에이치엔,삼천리자전거,,젬백스링크,,코미팜,한국파마
유니트론텍,유니온커뮤니티,,,,,,,,,,,,,,,,,,,,,,,,,,,웹스,에이치케이,현대건설,이엔코퍼레이션,영화금속,현대바이오,,화승코퍼레이션,,국제약품,젠큐릭스
