반도체,IT 서비스,전기와전자제품,디스플레이,하드웨어,에너지 장비 및 서비스,석유와 가스,에너지,전기유틸리티,가스유틸리티,복합유틸리티,독립 전력 생산 및 에너지 거래,유틸리티,전기통신 서비스,미디어와 엔터테인먼트,커뮤니케이션,식품과 기본 식료품 소매,음식료품,가정용품과 개인용품,은행,증권,다각화된 금융,보험,부동산,화학,포장재,비철금속,철강,종이와 목재,자본재,상업서비스와 공급품,운송,자동차와 부품,내구소비재와 의류,"호텔, 레스토랑, 레저 등",소매(유통),교육서비스,건강관리와 서비스,제약과 생물공학
씨앤지하이테크,에스트래픽,,,,,,,,,,,,,,,,,,,,,,,,,,,KPX홀딩스,현대글로비스,SGC이테크건설,하이록코리아,덕성,영원무역,,유니크,,애드바이오텍,진양제약
해성디에스,컨버즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,DL건설,CJ,에이트원,모다이노칩,형지I&C,,하나투어,,동성제약,쎌바이오텍
DMS,오파스넷,,,,,,,,,,,,,,,,,,,,,,,,,,,,한미글로벌,레드캡투어,혜인,ES큐브,윙스풋,,이원컴포텍,,모비스,유유제약
어보브반도체,누리플렉스,,,,,,,,,,,,,,,,,,,,,,,,,,,,씨에스베어링,한일현대시멘트,한솔홈데코,브랜드엑스코퍼레이션,세원정공,,세방전지,,큐리언트,미코바이오메드
기가비스,오비고,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICE평가정보,금호건설,HL D&I,현대모비스,본느,,호전실업,,제이엘케이,에스디바이오센서
뉴파워프라즈마,파인테크닉스,,,,,,,,,,,,,,,,,,,,,,,,,,,,LX홀딩스,지누스,오리엔탈정공,태평양물산,세기상사,,삼천리자전거,,대성미생물,아이큐어
톱텍,비즈니스온,,,,,,,,,,,,,,,,,,,,,,,,,,,,한국종합기술,신세계건설,3S,동원금속,명신산업,,형지I&C,,메디포스트,티움바이오
코세스,네오리진,,,,,,,,,,,,,,,,,,,,,,,,,,,,부스타,CNT85,SG&G,모트렉스,제이에스코퍼레이션,,영원무역,,팬젠,제테마
,버넥트,,,,,,,,,,,,,,,,,,,,,,,,,,,,서호전기,,티에스넥스젠,피코그램,신성델타테크,,케이카,,시너지이노베이션,농우바이오
,다보링크,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPC,,세명전기,네오티스,화승엔터프라이즈,,윙스풋,,한국유니온제약,퓨쳐켐
,소프트센,,,,,,,,,,,,,,,,,,,,,,,,,,,,남화토건,,두산밥캣,인팩,국동,,세원정공,,리메드,제노포커스
,인포마크,,,,,,,,,,,,,,,,,,,,,,,,,,,,대림통상,,대한해운,현대홈쇼핑,동아화성,,본느,,대한과학,제일파마홀딩스
,라온시큐어,,,,,,,,,,,,,,,,,,,,,,,,,,,,파라텍,,일성건설,현대위아,스킨앤스킨,,세기상사,,지씨셀,대화제약
,유비쿼스홀딩스,,,,,,,,,,,,,,,,,,,,,,,,,,,,엔케이,,코오롱글로벌,브이씨,SG세계물산,,명신산업,,비씨월드제약,휴온스
,이노룰스,,,,,,,,,,,,,,,,,,,,,,,,,,,,남광토건,,가온전선,오텍,아이에스이커머스,,제이에스코퍼레이션,,제일바이오,에이치엘사이언스
,한솔인티큐브,,,,,,,,,,,,,,,,,,,,,,,,,,,,케이에스피,,나이스정보통신,SNT홀딩스,애경산업,,신성델타테크,,EDGC,바이오니아
,미래나노텍,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTcs,,뉴로메카,에코캡,넥센,,국동,,뷰노,케어젠
,갤럭시아머니트리,,,,,,,,,,,,,,,,,,,,,,,,,,,,한국공항,,HJ중공업,대현,한세실업,,SG세계물산,,우진비앤지,세종메디칼
,미디어젠,,,,,,,,,,,,,,,,,,,,,,,,,,,,SK렌터카,,모델솔루션,화승코퍼레이션,삼익악기,,위즈코프,,솔고바이오,코렌텍
,율호,,,,,,,,,,,,,,,,,,,,,,,,,,,,조광페인트,,아이마켓코리아,유니크,BYC,,스킨앤스킨,,젠큐릭스,코스맥스엔비티
,마음AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,삼영엠텍,,HD한국조선해양,아우딘퓨쳐스,제이에스티나,,동아화성,,한국파마,메타바이오메드
,케이씨티,,,,,,,,,,,,,,,,,,,,,,,,,,,,팬스타엔터프라이즈,,이크레더블,이원컴포텍,삼양통상,,우리산업,,진양제약,진원생명과학
,알티캐스트,,,,,,,,,,,,,,,,,,,,,,,,,,,,아스트,,해성티피씨,세방전지,이녹스,,오스템,,유유제약,옵투스제약
,AP위성,,,,,,,,,,,,,,,,,,,,,,,,,,,,테라사이언스,,에스엠코어,아모레퍼시픽,일신방직,,아이에스이커머스,,쎌바이오텍,엘앤씨바이오
,비트나인,,,,,,,,,,,,,,,,,,,,,,,,,,,,에스와이,,성신양회,호전실업,형지엘리트,,넥센,,미코바이오메드,애니젠
,우리바이오,,,,,,,,,,,,,,,,,,,,,,,,,,,,에스비비테크,,두산,코스나인,바른손,,한세실업,,에스디바이오센서,우정바이오
,산돌,,,,,,,,,,,,,,,,,,,,,,,,,,,,삼표시멘트,,제룡산업,삼천리자전거,윌비스,,삼익악기,,아이큐어,파멥신
,에이치앤비디자인,,,,,,,,,,,,,,,,,,,,,,,,,,,,우진,,LIG넥스원,현대바이오,폴라리스우노,,모두투어,,한컴라이프케어,이수앱지스
,엑스큐어,,,,,,,,,,,,,,,,,,,,,,,,,,,,범양건영,,에쓰씨엔지니어링,형지I&C,아이윈,,BYC,,피제이전자,드림씨아이에스
,인텔리안테크,,,,,,,,,,,,,,,,,,,,,,,,,,,,제일전기공업,,코엔텍,케이카,영원무역홀딩스,,형지엘리트,,메디아나,JW홀딩스
,인성정보,,,,,,,,,,,,,,,,,,,,,,,,,,,,프리엠스,,천일고속,영원무역,백산,,일신방직,,제테마,종근당
,동아엘텍,,,,,,,,,,,,,,,,,,,,,,,,,,,,흥아해운,,이건홀딩스,세원정공,라파스,,아이에이,,농우바이오,프레스티지바이오로직스
,한글과컴퓨터,,,,,,,,,,,,,,,,,,,,,,,,,,,,코아스,,고려신용정보,본느,한국타이어앤테크놀로지,,바른손,,피씨엘,인벤티지랩
,쌍용정보통신,,,,,,,,,,,,,,,,,,,,,,,,,,,,제일테크노스,,진에어,세기상사,대유에이피,,윌비스,,비엘팜텍,셀트리온제약
,시티랩스,,,,,,,,,,,,,,,,,,,,,,,,,,,,유일로보틱스,,한솔로지스틱스,명신산업,두올,,새론오토모티브,,퓨쳐켐,한국비엔씨
,싸이버원,,,,,,,,,,,,,,,,,,,,,,,,,,,,대원,,서암기계공업,에스티오,제닉,,영원무역홀딩스,,제노포커스,셀레믹스
,엠젠솔루션,,,,,,,,,,,,,,,,,,,,,,,,,,,,대우건설,,금강공업,제이에스코퍼레이션,예스24,,아이윈,,제일파마홀딩스,제넨바이오
,키네마스터,,,,,,,,,,,,,,,,,,,,,,,,,,,,케이피에프,,SNT에너지,신성델타테크,코웨이,,백산,,대화제약,팜젠사이언스
,에이텍,,,,,,,,,,,,,,,,,,,,,,,,,,,,아이쓰리시스템,,영풍정밀,화승엔터프라이즈,한세엠케이,,웅진씽크빅,,티앤엘,레고켐바이오
,가비아,,,,,,,,,,,,,,,,,,,,,,,,,,,,한창,,에어부산,국동,성창오토텍,,대유에이피,,레이언스,지놈앤컴퍼니
,씨이랩,,,,,,,,,,,,,,,,,,,,,,,,,,,,현대지에프홀딩스,,일진파워,동아화성,브이티,,두올,,휴온스,에이프릴바이오
,톱텍,,,,,,,,,,,,,,,,,,,,,,,,,,,,삼성물산,,서한,스킨앤스킨,한국콜마,,제닉,,세종메디칼,디엔에이링크
,케이아이엔엑스,,,,,,,,,,,,,,,,,,,,,,,,,,,,홈센타홀딩스,,LX인터내셔널,우리산업,일지테크,,예스24,,케어젠,펩트론
,디지캡,,,,,,,,,,,,,,,,,,,,,,,,,,,,우진플라임,,디와이파워,SG세계물산,코데즈컴바인,,코웨이,,바이오니아,안국약품
,다산네트웍스,,,,,,,,,,,,,,,,,,,,,,,,,,,,유진기업,,휴림로봇,오스템,신일전자,,한세엠케이,,휴비츠,인트론바이오
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYM,,CJ,신세계푸드,현대바이오랜드,,성창오토텍,,코렌텍,퀀타매트릭스
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMM,,현대건설,넥센,크린앤사이언스,,코데즈컴바인,,에이치엘사이언스,엔젠바이오
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,삼일기업공사,,SGC이테크건설,애경산업,잇츠한불,,유니테크노,,메타바이오메드,바이젠셀
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,다원시스,,레드캡투어,한세실업,코드네이처,,성우하이텍,,코스맥스엔비티,바이오솔루션
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,삼일씨엔에스,,한일현대시멘트,삼익악기,서진오토모티브,,일지테크,,멕아이씨에스,티앤알바이오팹
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,라이온켐텍,,금호건설,BYC,내츄럴엔도텍,,신일전자,,엘앤씨바이오,파나진
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTis,,한화,이녹스,현대퓨처넷,,영화테크,,진원생명과학,원바이오젠
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,에이트원,,신세계건설,제이에스티나,엔바이오니아,,크린앤사이언스,,우정바이오,종근당바이오
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,오리엔탈정공,,토탈소프트,삼양통상,LS네트웍스,,서부T&D,,애니젠,지더블유바이텍
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,세명전기,,,일신방직,제이준코스메틱,,서진오토모티브,,이수앱지스,삼일제약
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,아세아텍,,,형지엘리트,토박스코리아,,현대퓨처넷,,하이로닉,삼천당제약
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,일성건설,,,아이에이,경방,,서연,,파멥신,비엘
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,코오롱글로벌,,,새론오토모티브,엠에프엠코리아,,코리아에프티,,드림씨아이에스,아이진
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,동양파일,,,바른손,그리티,,엔바이오니아,,원텍,HLB제약
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,나이스정보통신,,,윌비스,진도,,상신브레이크,,수젠텍,오리엔트바이오
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HJ중공업,,,다이나믹디자인,BGF에코머티리얼즈,,토박스코리아,,프레스티지바이오로직스,디티앤씨알오
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,모델솔루션,,,폴라리스우노,한국앤컴퍼니,,LS네트웍스,,인벤티지랩,HK이노엔
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,해성티피씨,,,아이윈,에스엠벡셀,,경방,,셀트리온제약,DXVX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,나라엠앤디,,,영원무역홀딩스,지엠비코리아,,우신시스템,,씨유메디칼,바디텍메드
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KBI메탈,,,백산,GH신소재,,네오오토,,한국비엔씨,유틸렉스
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,한샘,,,라파스,대우부품,,BGF리테일,,엠아이텍,바이오노트
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,우리기술,,,한국타이어앤테크놀로지,트루윈,,진도,,제넨바이오,일신바이오
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,천일고속,,,대유에이피,LF,,엠에프엠코리아,,셀레믹스,블레이드 Ent
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,고려신용정보,,,두올,공구우먼,,BGF에코머티리얼즈,,레고켐바이오,랩지노믹스
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,화성산업,,,웅진씽크빅,,,에스엠벡셀,,팜젠사이언스,신일제약
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,일진파워,,,제닉,,,한국무브넥스,,에이프릴바이오,한독
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서한,,,코웨이,,,지엠비코리아,,디엔에이링크,프롬바이오
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,휴림로봇,,,성창오토텍,,,GH신소재,,한스바이오메드,바이오플러스
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,현대건설,,,성우하이텍,,,대우부품,,펩트론,나이벡
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CJ,,,유니테크노,,,트루윈,,안국약품,삼성바이오로직스
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,시디즈,,,일지테크,,,LF,,퀀타매트릭스,화일약품
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,이엔플러스,,,브이티,,,공구우먼,,인트론바이오,진바이오텍
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,에스피시스템스,,,영화테크,,,,,엔젠바이오,동아쏘시오홀딩스
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,지누스,,,신일전자,,,,,바이젠셀,이연제약
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,신세계건설,,,플레이그램,,,,,바이오솔루션,삼진제약
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서희건설,,,현대바이오랜드,,,,,뉴트리,메드팩토
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SK네트웍스,,,한국콜마,,,,,티앤알바이오팹,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,와토스코리아,,,코데즈컴바인,,,,,솔본,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,일진홀딩스,,,크린앤사이언스,,,,,파나진,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,까뮤이앤씨,,,서진오토모티브,,,,,원바이오젠,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIB플러그에너지,,,잇츠한불,,,,,지더블유바이텍,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TKG애강,,,내츄럴엔도텍,,,,,종근당바이오,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,현대미포조선,,,서연,,,,,삼일제약,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,코오롱,,,코리아에프티,,,,,삼천당제약,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,한화에어로스페이스,,,엔바이오니아,,,,,케어랩스,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,현대에버다임,,,상신브레이크,,,,,오리엔트바이오,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,보성파워텍,,,우신시스템,,,,,비엘,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,에코프로에이치엔,,,네오오토,,,,,디티앤씨알오,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,에이테크솔루션,,,경방,,,,,휴럼,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KT서브마린,,,LS네트웍스,,,,,HK이노엔,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,삼부토건,,,제이준코스메틱,,,,,아이진,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,제주항공,,,엠에프엠코리아,,,,,제이시스메디칼,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD현대인프라코어,,,그리티,,,,,DXVX,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,고려시멘트,,,BGF리테일,,,,,바디텍메드,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,동아지질,,,진도,,,,,유틸렉스,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STX엔진,,,BGF에코머티리얼즈,,,,,바이오노트,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,화천기계,,,한국앤컴퍼니,,,,,일신바이오,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,퍼시스,,,에스엠벡셀,,,,,블레이드 Ent,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,삼목에스폼,,,한국무브넥스,,,,,인피니트헬스케어,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,에이비프로바이오,,,지엠비코리아,,,,,신일제약,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,제이오,,,GH신소재,,,,,랩지노믹스,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,이건산업,,,대우부품,,,,,한독,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIMPAC,,,트루윈,,,,,프롬바이오,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,동양고속,,,LF,,,,,바이오플러스,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,대성하이텍,,,공구우먼,,,,,나이벡,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,아이에스동서,,,,,,,,화일약품,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD현대건설기계,,,,,,,,휴마시스,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,선광,,,,,,,,진바이오텍,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서산,,,,,,,,동아쏘시오홀딩스,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,삼익THK,,,,,,,,이연제약,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,일신석재,,,,,,,,삼진제약,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,효성,,,,,,,,메드팩토,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,쎄트렉아이,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,삼성엔지니어링,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,대한전선,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,세보엠이씨,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,한일홀딩스,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,한국정밀기계,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD현대일렉트릭,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,한국카본,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,두산에너빌리티,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,켄코아에어로스페이스,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,메디콕스,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,비엠티,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,베노티앤알,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,우진아이엔에스,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,드림시큐리티,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,유수홀딩스,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,동부건설,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STX,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,에넥스,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,우원개발,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,디와이,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,수성샐바시온,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,케이엔솔,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,현대무벡스,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,와이엔텍,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LX하우시스,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,디케이락,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,부산산업,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,티에스아이,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCI평가정보,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,아세아시멘트,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,자연과환경,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,유니드비티플러스,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,벽산,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,강원에너지,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,동신건설,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,국보,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SK오션플랜트,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,현대코퍼레이션,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3S,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,티에스넥스젠,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG&G,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,두산밥캣,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,이크레더블,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,에스엠코어,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,제룡산업,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,코엔텍,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,진에어,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,로보스타,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,한솔로지스틱스,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,진흥기업,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서암기계공업,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,듀오백,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,한일시멘트,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,피앤씨테크,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,디와이파워,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SGC이테크건설,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,레드캡투어,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,금호건설,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNT85,,,,,,,,,